Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.6235833333333334,0.6439258507263702,0.6267600430327503,0.6275375659992368,,
2,0.6636666666666666,0.6828885557625725,0.6485100489113536,0.6599968938900276,,
3,0.5751666666666667,0.6178340125282042,0.5689030820425083,0.5819140109121553,,
4,0.6331666666666667,0.6639964929671189,0.6151966343724584,0.6317654009847438,,
5,0.6595,0.6818350164176111,0.6372981414786689,0.6518683368703233,,
Total,0.6544,0.6888293843936807,0.6522666666666667,0.6581420108300791,2.104114055633545,0.020903587341308594
