Class,Accuracy,Precision,Recall,F1-Score,Total Training Time
0,0.9566,0.9156050955414012,0.8625,0.888259526261586,0 days 00:04:45.213136
1,0.9931,0.987434554973822,0.943,0.9647058823529412,0 days 00:04:45.213136
2,0.9576,0.9178154825026511,0.8655,0.8908903757076686,0 days 00:04:45.213136
3,0.9829,0.9420009666505558,0.9745,0.9579749324158271,0 days 00:04:45.213136
4,0.9436,0.8799126637554585,0.9403333333333334,0.9091202062520142,0 days 00:04:45.213136
