Class,Accuracy,Precision,Recall,F1-Score,Total Training Time
0,0.9463,0.833561331509348,0.914,0.8719294061531123,0 days 00:01:10.605556
1,0.9921,0.9582089552238806,0.963,0.9605985037406484,0 days 00:01:10.605556
2,0.9557,0.9078051335777895,0.8665,0.8866717830647225,0 days 00:01:10.605556
3,0.9854,0.9734422880490297,0.953,0.9631126831733198,0 days 00:01:10.605556
4,0.9437,0.9151618398637138,0.8953333333333333,0.9051390058972199,0 days 00:01:10.605556
