Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.66025,0.6819857066222483,0.6444977171775828,0.6530274864081782,,
2,0.64625,0.6701591977536537,0.6590354959355217,0.6577481243470625,,
3,0.6074166666666667,0.6293663943935227,0.5870875550035146,0.6020909116733671,,
4,0.6111666666666666,0.6215941604961366,0.5966013447605303,0.6035117840082651,,
5,0.6211666666666666,0.6517514514561427,0.6150016994535057,0.623276675558392,,
Total,0.6842,0.690883028721554,0.6785666666666667,0.6807707848845179,1.96356201171875,0.018494367599487305
