Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.87075,0.8877871697644014,0.8721842896008555,0.8790777919211804,,
2,0.8744166666666666,0.8888750946359254,0.8749900189162219,0.8812521827168138,,
3,0.8714166666666666,0.887187897869833,0.8724533200001666,0.8790610952915918,,
4,0.8768333333333334,0.8919561940431503,0.87582004520455,0.8828325899083312,,
5,0.8694166666666666,0.8843022216420685,0.8679873609884069,0.875024133423133,,
Total,0.8648,0.8818576661430064,0.865,0.8723842635003063,60.07471990585327,2.038196325302124
