Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.8501666666666666,0.8655730845027533,0.851407299327757,0.8577047506076637,,
2,0.856,0.8692198880230066,0.8536203953771164,0.8605016658342504,,
3,0.85875,0.8739687477332151,0.859824312302971,0.8662659678339841,,
4,0.8601666666666666,0.8745056883376033,0.859159407090478,0.8659359764353048,,
5,0.8576666666666667,0.8712905199534002,0.8565919696332888,0.8630159040968179,,
Total,0.8512,0.8663602444847983,0.8542666666666665,0.8596738422730125,12.401814699172974,0.39789843559265137
