Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.75125,0.7591378166210488,0.7528637955038477,0.7555119946504301,,
2,0.74575,0.7493487975993309,0.7476381965353125,0.7483934880536628,,
3,0.7325,0.7378912688755422,0.7379214048818443,0.7373404417392034,,
4,0.7355,0.7409901749703742,0.7346271620919941,0.7374444298795023,,
5,0.7391666666666666,0.7440423031964762,0.7444935036694333,0.7439991912660838,,
Total,0.7351,0.7385129880424947,0.7354333333333333,0.7367314678244903,2.212203025817871,0.020056724548339844
