Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.8598333333333333,0.8767581080628339,0.8622188680654912,0.86871384265134,,
2,0.8653333333333333,0.8789949063642698,0.8645466373083831,0.871084793332415,,
3,0.86025,0.8746041461401617,0.8611123107014371,0.8672368788223418,,
4,0.8639166666666667,0.8786040680421199,0.8626413937152877,0.8694782373825,,
5,0.861,0.8745417305956863,0.8601739480653261,0.8665144277543859,,
Total,0.8563,0.8723240267421731,0.8570333333333334,0.8637918501500295,18.961132764816284,0.622187614440918
