Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.64725,0.6660017037844621,0.6298876582262611,0.643212891232803,,
2,0.6466666666666666,0.6783313498624273,0.6481675293987933,0.6502056793786715,,
3,0.6234166666666666,0.6303175789318459,0.6047858704574957,0.6071735476638942,,
4,0.5868333333333333,0.6225851589369744,0.5895427891948002,0.6014458806880525,,
5,0.6229166666666667,0.6620383430952652,0.6081117976034405,0.620138515577417,,
Total,0.6434,0.6572946952291768,0.6568,0.6529580960085741,2.2043814659118652,0.01825690269470215
