Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7406666666666667,0.7484111379670927,0.7443723377623541,0.7458794990220239,,
2,0.7405833333333334,0.7435721327814939,0.7422680578430901,0.7428819423195872,,
3,0.7190833333333333,0.7246260720024986,0.722510304087461,0.7234199418041125,,
4,0.7488333333333334,0.7509053892139927,0.743564357712535,0.7469295948205307,,
5,0.75525,0.7628080900751187,0.758782450481746,0.7606995908576688,,
Total,0.7406,0.7504377438204279,0.7508333333333334,0.7504352816045234,2.4951441287994385,0.024245738983154297
