Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.74975,0.7565270558980586,0.7501719166760242,0.7531162773696423,,
2,0.76175,0.7657553835400845,0.7656726982931902,0.7656089920267238,,
3,0.7349166666666667,0.739229890250604,0.7397650113601251,0.7391449534608044,,
4,0.76175,0.7650434348117863,0.7640318333898738,0.7645088035442817,,
5,0.7501666666666666,0.7518131974575205,0.7536572435050495,0.7526873589542362,,
Total,0.7555,0.7614690474071991,0.7587666666666667,0.7599984452636247,2.2188217639923096,0.023980140686035156
