Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7339166666666667,0.7458426019039794,0.7348750559990156,0.7398749909788731,,
2,0.7250833333333333,0.729531000923159,0.7199522650357126,0.7240289198747789,,
3,0.7199166666666666,0.7224491534128701,0.7217361665222812,0.7218480262129601,,
4,0.7360833333333333,0.7481319825926471,0.7335869616530362,0.7395533710443208,,
5,0.7350833333333333,0.7395450014022457,0.7336432139169415,0.7363111162268086,,
Total,0.7346,0.7477092640813191,0.7303666666666666,0.7375910807983586,2.3202853202819824,0.020251989364624023
