Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7388333333333333,0.7425735480933664,0.7377189681017794,0.7398935693428614,,
2,0.7406666666666667,0.7454465835463322,0.744012078002009,0.7447158228470065,,
3,0.7485,0.7503260205517884,0.7459750813548043,0.7480293973687654,,
4,0.75825,0.763829842275431,0.7622561680957269,0.7629939225596247,,
5,0.7444166666666666,0.7475279639721503,0.7444560413090267,0.74584835488089,,
Total,0.7491,0.7505486024408238,0.7506,0.7504979355571646,2.350938320159912,0.021296262741088867
