Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7343333333333333,0.7396840575518239,0.7366419953719958,0.7379439792503908,,
2,0.75025,0.7519951369598831,0.7521168796558584,0.7518879043500744,,
3,0.7404166666666666,0.7489140976685021,0.744584245976956,0.7466255845105485,,
4,0.7458333333333333,0.7525526454774767,0.7445975333004922,0.7483349298330884,,
5,0.7434166666666666,0.7440084286628893,0.7469575859508915,0.7453894509086825,,
Total,0.7687,0.7779273256000858,0.7751333333333333,0.7764361381127491,2.1613807678222656,0.02154374122619629
