Class,Accuracy,Precision,Recall,F1-Score,Total Training Time
0,0.9375,0.8442663995993991,0.843,0.8436327245434075,0 days 00:00:57.473509
1,0.9913,0.9653414882772681,0.947,0.9560827864714789,0 days 00:00:57.473509
2,0.9423,0.9177921315325895,0.7815,0.8441803942749122,0 days 00:00:57.473509
3,0.9805,0.9532898041185334,0.949,0.9511400651465798,0 days 00:00:57.473509
4,0.9212,0.8323317307692307,0.9233333333333333,0.8754740834386852,0 days 00:00:57.473509
