Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7460833333333333,0.7518840581474965,0.7515894616139185,0.7517300656008357,,
2,0.7473333333333333,0.7480687118206696,0.744861993689004,0.7463459448310888,,
3,0.7423333333333333,0.7469741895744197,0.7453552230703095,0.7458564073584505,,
4,0.75375,0.7607968546013413,0.7539553347580957,0.7571802191144054,,
5,0.7485833333333334,0.7499159389335136,0.7490051340431346,0.749452513466967,,
Total,0.7194,0.7249222798399094,0.7236333333333334,0.7240047671421952,2.4305131435394287,0.0216367244720459
