Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.75025,0.7568506693747712,0.7538272034385776,0.7552024187327134,,
2,0.744,0.7534392068298515,0.7504338175494072,0.7518743092845359,,
3,0.7570833333333333,0.7594502759441831,0.7605901501156846,0.7598305827576958,,
4,0.7530833333333333,0.762817977972906,0.7574585050070699,0.7599138773648157,,
5,0.7435,0.7485461861722019,0.74574162323195,0.7471011390317364,,
Total,0.7277,0.7289895295718573,0.7278999999999999,0.7283336130009788,2.305419445037842,0.021591663360595703
