Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.8400833333333333,0.8547482508451834,0.8433013058447966,0.8484710229833796,,
2,0.8453333333333334,0.8583509056599825,0.8491634452841087,0.8532314618089473,,
3,0.8429166666666666,0.8550052095228505,0.8462712623671875,0.8501349601718584,,
4,0.843,0.8554382940795181,0.8457495024096223,0.8499643178878742,,
5,0.8339166666666666,0.8454130550048907,0.8362340911053655,0.8404436983300766,,
Total,0.8414,0.8547648459475072,0.8470333333333333,0.8505669584893498,32.44768476486206,0.4510831832885742
