Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.8678333333333333,0.8854074633196788,0.8685005522878442,0.8759742046519927,,
2,0.8730833333333333,0.8884028542261511,0.8728915316597048,0.8798210472771265,,
3,0.8686666666666667,0.8855307119612791,0.8696922096561963,0.8767091189884582,,
4,0.8735,0.8890785613677037,0.8715261566784201,0.8790940404888907,,
5,0.8696666666666667,0.8850718624502516,0.8695175188045461,0.8763011074751527,,
Total,0.8711,0.8877601359476888,0.8703000000000001,0.8779766652248211,61.64512228965759,2.1953227519989014
