Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7420833333333333,0.7500595356556199,0.7445307343407218,0.7470037293487917,,
2,0.75725,0.7655565699856833,0.7565270240774746,0.7605568002438371,,
3,0.75875,0.7690075026008635,0.7600954077303224,0.764164727220329,,
4,0.734,0.7439559730050349,0.7361519225450186,0.7396824070933651,,
5,0.7530833333333333,0.7560803025564087,0.7554682945584389,0.7556155074199424,,
Total,0.7392,0.7450717292895276,0.7446333333333334,0.7448199593327612,2.3066041469573975,0.019609928131103516
