Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.86375,0.8801918154372478,0.8655905235553938,0.872071106838819,,
2,0.8740833333333333,0.8899304863778736,0.8725913788511688,0.8802267625099052,,
3,0.8639166666666667,0.8798676788173523,0.8645884701720215,0.8713059493513844,,
4,0.8685833333333334,0.8833108812201462,0.8677116021774005,0.8745384807181471,,
5,0.8670833333333333,0.8815868347379237,0.8659592609994708,0.8728054251077678,,
Total,0.8653,0.8828178970024501,0.8661333333333333,0.8734769222676363,36.52180242538452,1.3468360900878906
