Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.5856666666666667,0.6285099103145226,0.5418095166225584,0.547522065030928,,
2,0.6454166666666666,0.6581024203903958,0.632011160437649,0.642232402018218,,
3,0.6238333333333334,0.6522311095897338,0.6168457141643406,0.6225557916239335,,
4,0.652,0.6933871771258511,0.6160815531108935,0.6290500669616583,,
5,0.6734166666666667,0.6758348151219996,0.6699778823857016,0.6716984555461629,,
Total,0.6722,0.7015242799687128,0.6686,0.6739156596552057,1.9792506694793701,0.01795220375061035
