Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.6413333333333333,0.6731983298876578,0.6260898952361139,0.640319962659602,,
2,0.6858333333333333,0.6930394098061855,0.6862044627894506,0.6893017314408575,,
3,0.69075,0.697442951665653,0.6886019177596249,0.6921681321671308,,
4,0.6838333333333333,0.6880065894018705,0.667490131868463,0.6745073168350361,,
5,0.6044166666666667,0.6309500701117089,0.5827972204656315,0.5887472893180862,,
Total,0.6341,0.6643860501978741,0.6151666666666666,0.6277833572744521,1.9808568954467773,0.019188404083251953
