Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.7450833333333333,0.7545329557565355,0.7487983980216802,0.7514088227474877,,
2,0.7520833333333333,0.7573020060875095,0.755698797801976,0.7564176188842853,,
3,0.73775,0.7385041863319086,0.7412995447724604,0.7397580159085122,,
4,0.735,0.7394993710280191,0.7361704468751963,0.7377110708440768,,
5,0.73425,0.7370998633075562,0.7370778345985445,0.7370413802989493,,
Total,0.7511,0.7578753961915093,0.7535333333333333,0.7554745973651009,2.2040762901306152,0.021149396896362305
