Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.8633333333333333,0.8804157279070648,0.8649796798215613,0.8718022863931549,,
2,0.872,0.8858798938600454,0.8712773160792132,0.8777652341144797,,
3,0.86375,0.8800845162559616,0.8649276800136041,0.8717047000390196,,
4,0.8649166666666667,0.8801835318504383,0.8646364822653,0.8714816439792891,,
5,0.8644166666666667,0.8792364207104718,0.8636271739334797,0.8704228231514533,,
Total,0.8604,0.8765741110772598,0.8608,0.8677359866888905,25.153276681900024,0.909435510635376
