Class,Accuracy,Precision,Recall,F1-Score,Total Training Time
0,0.9549,0.874335427742871,0.9045,0.889161956254608,0 days 00:04:40.771299
1,0.9944,0.9826175869120655,0.961,0.9716885743174926,0 days 00:04:40.771299
2,0.9612,0.9260042283298098,0.876,0.9003083247687564,0 days 00:04:40.771299
3,0.9866,0.9618811881188118,0.9715,0.9666666666666667,0 days 00:04:40.771299
4,0.9485,0.9085827030582045,0.921,0.91474921370634,0 days 00:04:40.771299
