Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.738,0.741761453629862,0.7430536833153312,0.7422147547204159,,
2,0.77,0.7763323543092243,0.7699166381259329,0.7727604830785915,,
3,0.7535,0.7541313222457297,0.7558426637131271,0.7548455496086612,,
4,0.74275,0.7495192799344911,0.7449362075819536,0.7469543173724201,,
5,0.741,0.7466242350911256,0.7422470035886384,0.7442705241313429,,
Total,0.7369,0.745532935449691,0.7406666666666667,0.7428998905950678,2.2313921451568604,0.021925926208496094
