Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.8989166666666667,0.9083901988270571,0.9008539655086757,0.9043647710893362,,
2,0.9084166666666667,0.915766411587574,0.9101617496768153,0.9128238234619159,,
3,0.89925,0.9069768915444835,0.9019206391295291,0.9043069344343528,,
4,0.9013333333333333,0.9090704511480918,0.9022778350895939,0.9054326245825187,,
5,0.9039166666666667,0.910501199986683,0.9053539291546274,0.9077715468842247,,
Total,0.9021,0.9120140814690305,0.9058333333333334,0.908725077613294,7305.551802158356,1.9519331455230713
