Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.73225,0.7449858413029471,0.7237417230695409,0.7316615585199009,,
2,0.7328333333333333,0.7398877272745543,0.7420120595643531,0.7406540716850681,,
3,0.7303333333333333,0.7392815318186358,0.7332109894660306,0.7357424473916392,,
4,0.7024166666666667,0.7108317426505386,0.703897743332978,0.7068730427609417,,
5,0.72625,0.735022781764579,0.7194452356725363,0.7257981706819181,,
Total,0.7358,0.7443913514812412,0.7351999999999999,0.739315138427857,2.19905424118042,0.019701004028320312
