Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.6456666666666667,0.6689925138520698,0.6358950590075712,0.6483205210948071,,
2,0.6331666666666667,0.6674855509739949,0.6195145748537004,0.634664459180366,,
3,0.6440833333333333,0.6742577437143029,0.6224944142389812,0.6389866876214443,,
4,0.6619166666666667,0.6857132960042313,0.6379065978963199,0.6505693428525253,,
5,0.6585,0.7045436786933204,0.660318400349851,0.6707577763368546,,
Total,0.656,0.6895917848361574,0.6258000000000001,0.6397229834200464,2.252403497695923,0.01854252815246582
