Fold,Accuracy,Precision,Recall,F1-Score,Train Time (s),Validation Time (s)
1,0.66975,0.691092520288734,0.6609267820637497,0.6731313020827376,,
2,0.6228333333333333,0.6556846629186481,0.6115954763634512,0.6253646490356923,,
3,0.6791666666666667,0.7119992756003766,0.6516038262125242,0.6687682884723504,,
4,0.6651666666666667,0.6700150488708714,0.6614310441785046,0.6630907052068069,,
5,0.6884166666666667,0.7068351713959083,0.6970189010746218,0.7005977189064434,,
Total,0.6195,0.6422421376799147,0.6273666666666666,0.6264225751079213,2.0392255783081055,0.020253419876098633
